ts,dpid,port_no,rx_bytes,tx_bytes,rx_pkts,tx_pkts,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_bps,tx_bps,rx_pps,tx_pps,drop_ps,err_ps
1762359949.932207,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359949.932207,1,1,838,45978,9,521,0,0,0,0,6704000000.0,367824000000.0,9000000.0,521000000.0,0.0,0.0
1762359949.932207,1,2,24032,22130,274,250,0,0,0,0,192256000000.0,177040000000.0,274000000.0,250000000.0,0.0,0.0
1762359949.932207,1,3,21730,23846,245,272,0,0,0,0,173840000000.0,190768000000.0,245000000.0,272000000.0,0.0,0.0
1762359949.932207,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359949.932207,3,1,23846,21730,272,245,1,0,0,0,190768000000.0,173840000000.0,272000000.0,245000000.0,1000000.0,0.0
1762359949.932207,3,2,22056,23840,249,272,1,0,0,0,176448000000.0,190720000000.0,249000000.0,272000000.0,1000000.0,0.0
1762359949.932207,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359949.932207,2,1,788,46036,8,522,0,0,0,0,6304000000.0,368288000000.0,8000000.0,522000000.0,0.0,0.0
1762359949.932207,2,2,22130,24032,250,274,1,0,0,0,177040000000.0,192256000000.0,250000000.0,274000000.0,1000000.0,0.0
1762359949.932207,2,3,23840,22056,272,249,0,0,0,0,190720000000.0,176448000000.0,272000000.0,249000000.0,0.0,0.0
1762359951.9370856,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359951.9370856,1,1,6542,439326,75,5100,0,0,0,0,22760.48125749934,1569563.4259598267,32.9197002760115,2283.928902482676,0.0,0.0
1762359951.9370856,1,2,221866,223498,2578,2594,0,0,0,0,789410.4223520556,803512.0248702889,1149.1968096353105,1169.1481431359234,0.0,0.0
1762359951.9370856,1,3,220988,225446,2564,2620,0,0,0,0,795092.5621330302,804437.7667447173,1156.6785596980403,1171.1432764859849,0.0,0.0
1762359951.9370856,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359951.9370856,2,1,5730,439574,65,5103,0,0,0,0,19719.898032005916,1570321.57663285,28.430650238373566,2284.9264691577073,0.0,0.0
1762359951.9370856,2,2,223498,221866,2594,2578,1,0,0,0,803512.0248702889,789410.4223520556,1169.1481431359234,1149.1968096353105,0.0,0.0
1762359951.9370856,2,3,220062,226732,2557,2631,0,0,0,0,782978.112431458,816711.8271142944,1139.7199262225192,1188.101909961506,0.0,0.0
1762359951.9370856,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359951.9370856,3,1,225446,220988,2620,2564,1,0,0,0,804437.7667447173,795092.5621330302,1171.1432764859849,1156.6785596980403,0.0,0.0
1762359951.9370856,3,2,226732,220062,2631,2557,1,0,0,0,816711.8271142944,782978.112431458,1188.101909961506,1139.7199262225192,0.0,0.0
1762359953.9444695,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359953.9444695,2,1,8858,890324,101,10349,0,0,0,0,12465.976714747461,1796367.9680858115,17.93379003080677,2613.3517361558975,0.0,0.0
1762359953.9444695,2,2,449996,450300,5230,5237,1,0,0,0,902659.4609772604,910374.9759771808,1313.1519589224067,1324.6096581087556,0.0,0.0
1762359953.9444695,2,3,445018,454968,5176,5287,0,0,0,0,896514.148926704,909585.8892158254,1304.6832247411926,1323.1151756061884,0.0,0.0
1762359953.9444695,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359953.9444695,1,1,9404,886468,108,10303,0,0,0,0,11405.890459593105,1781989.053767778,16.43930752823954,2591.9308202857674,0.0,0.0
1762359953.9444695,1,2,450300,449996,5237,5230,0,0,0,0,910374.9759771808,902659.4609772604,1324.6096581087556,1313.1519589224067,0.0,0.0
1762359953.9444695,1,3,446926,450800,5193,5243,0,0,0,0,900427.7004400933,898100.2930227619,1309.6648330830833,1306.6758680779487,0.0,0.0
1762359953.9444695,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359953.9444695,3,1,450800,446926,5243,5193,1,0,0,0,898100.2930227619,900427.7004400933,1306.6758680779487,1309.6648330830833,0.0,0.0
1762359953.9444695,3,2,454968,445018,5287,5176,1,0,0,0,909585.8892158254,896514.148926704,1323.1151756061884,1304.6832247411926,0.0,0.0
1762359954.949812,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359954.949812,2,1,8858,890324,101,10349,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359954.949812,2,2,449996,450300,5230,5237,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359954.949812,2,3,445018,454968,5176,5287,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359954.949812,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359954.949812,1,1,9404,886468,108,10303,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359954.949812,1,2,450300,449996,5237,5230,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359954.949812,1,3,446926,450800,5193,5243,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359954.949812,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359954.949812,3,1,450800,446926,5243,5193,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359954.949812,3,2,454968,445018,5287,5176,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359955.958102,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359955.958102,2,1,11228,1338136,128,15577,0,0,0,0,18804.112918309558,3553041.103027021,26.77800890265602,5185.01594604021,0.0,0.0
1762359955.958102,2,2,675170,676506,7859,7878,1,0,0,0,1786581.1486360494,1794769.268691617,2607.3846446326916,2619.285981922761,0.0,0.0
1762359955.958102,2,3,669448,681102,7797,7927,0,0,0,0,1780678.0853401748,1794198.0045016936,2599.450419772645,2618.294203815255,0.0,0.0
1762359955.958102,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359955.958102,1,1,11648,1334724,134,15535,0,0,0,0,17804.400585943735,3556563.8988648816,25.78623079515024,5188.983058470233,0.0,0.0
1762359955.958102,1,2,676506,675170,7878,7859,0,0,0,0,1794769.268691617,1786581.1486360494,2619.285981922761,2607.3846446326916,0.0,0.0
1762359955.958102,1,3,672368,678492,7825,7902,0,0,0,0,1788707.5208985417,1806559.5268336458,2610.359978955209,2637.137987857865,0.0,0.0
1762359955.958102,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359955.958102,3,1,678492,672368,7902,7825,1,0,0,0,1806559.5268336458,1788707.5208985417,2637.137987857865,2610.359978955209,0.0,0.0
1762359955.958102,3,2,681102,669448,7927,7797,1,0,0,0,1794198.0045016936,1780678.0853401748,2618.294203815255,2599.450419772645,0.0,0.0
1762359957.9680114,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359957.9680114,2,1,13340,1787456,152,20821,0,0,0,0,8406.349098256725,1788418.9284226857,11.940836787296485,2609.072838024282,0.0,0.0
1762359957.9680114,2,2,900616,901850,10490,10508,1,0,0,0,897337.9634496145,896931.9749988464,1309.0142328073773,1308.51669794124,0.0,0.0
1762359957.9680114,2,3,892458,908874,10400,10585,0,0,0,0,887642.0039783297,906596.0922386984,1295.0832565555313,1322.4476741930857,0.0,0.0
1762359957.9680114,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359957.9680114,1,1,13564,1782668,156,20763,0,0,0,0,7626.214428153356,1782942.0646162457,10.94576705502178,2601.1122801660845,0.0,0.0
1762359957.9680114,1,2,901850,900616,10508,10490,0,0,0,0,896931.9749988464,897337.9634496145,1308.51669794124,1309.0142328073773,0.0,0.0
1762359957.9680114,1,3,898404,904260,10463,10538,0,0,0,0,899686.3280177828,898619.6132647843,1312.4969768703386,1311.501907138064,0.0,0.0
1762359957.9680114,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359957.9680114,3,1,904260,898404,10538,10463,1,0,0,0,898619.6132647843,899686.3280177828,1311.501907138064,1312.4969768703386,0.0,0.0
1762359957.9680114,3,2,908874,892458,10585,10400,1,0,0,0,906596.0922386984,887642.0039783297,1322.4476741930857,1295.0832565555313,0.0,0.0
1762359962.9818738,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359962.9818738,2,1,16946,2686772,193,31314,0,0,0,0,5753.64815841319,1434927.3009516129,8.177328566796339,2092.7977719852192,0.0,0.0
1762359962.9818738,2,2,1350304,1355782,15737,15805,1,0,0,0,717511.517764978,724283.1436064382,1046.498609511717,1056.4709614224441,0.0,0.0
1762359962.9818738,2,3,1343214,1361016,15660,15860,0,0,0,0,719215.593259483,721427.0620192059,1049.091421008506,1052.0831265817242,0.0,0.0
1762359962.9818738,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359962.9818738,3,1,1355374,1349906,15801,15730,1,0,0,0,719786.8095769295,720405.8931835474,1049.6897621231496,1050.4875502760078,0.0,0.0
1762359962.9818738,3,2,1361016,1343214,15860,15660,1,0,0,0,721427.0620192059,719215.593259483,1052.0831265817242,1049.091421008506,0.0,0.0
1762359962.9818738,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359962.9818738,1,1,16708,2678198,192,31209,0,0,0,0,5016.491905172232,1428886.449058171,7.180093375723615,2083.4237611891353,0.0,0.0
1762359962.9818738,1,2,1355782,1350304,15805,15737,0,0,0,0,724283.1436064382,717511.517764978,1056.4709614224441,1046.498609511717,0.0,0.0
1762359962.9818738,1,3,1349906,1355374,15730,15801,0,0,0,0,720405.8931835474,719786.8095769295,1050.4875502760078,1049.6897621231496,0.0,0.0
1762359965.9932036,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359965.9932036,2,1,20052,3567694,228,41605,0,0,0,0,8251.503791833582,2340286.9360301425,11.622771760873123,3417.4269768898657,0.0,0.0
1762359965.9932036,2,2,1794086,1796184,20922,20950,1,0,0,0,1178966.1480191534,1169986.726635896,1721.8306165750612,1708.547448848349,0.0,0.0
1762359965.9932036,2,3,1783046,1806798,20799,21068,0,0,0,0,1168472.4455150508,1184279.4151098384,1706.5549736893422,1729.4684380179208,0.0,0.0
1762359965.9932036,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359965.9932036,3,1,1796224,1793596,20953,20914,1,0,0,0,1171176.8984642094,1178721.737732982,1710.8720032005237,1721.4985373818934,0.0,0.0
1762359965.9932036,3,2,1806798,1783046,21068,20799,1,0,0,0,1184279.4151098384,1168472.4455150508,1729.4684380179208,1706.5549736893422,0.0,0.0
1762359965.9932036,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359965.9932036,1,1,19492,3559342,224,41503,0,0,0,0,7396.06779023332,2340876.7086772085,10.626534181369712,3418.423214469369,0.0,0.0
1762359965.9932036,1,2,1796184,1794086,20950,20922,0,0,0,0,1169986.726635896,1178966.1480191534,1708.547448848349,1721.8306165750612,0.0,0.0
1762359965.9932036,1,3,1793596,1796224,20914,20953,0,0,0,0,1178721.737732982,1171176.8984642094,1721.4985373818934,1710.8720032005237,0.0,0.0
1762359968.0038264,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359968.0038264,2,1,21476,4008668,244,46756,0,0,0,0,5665.906275972609,1754576.793638164,7.957733533669395,2561.892839495691,0.0,0.0
1762359968.0038264,2,2,2016330,2017294,23518,23533,1,0,0,0,884279.2657284106,879767.23081482,1291.1422658378594,1284.676607341753,0.0,0.0
1762359968.0038264,2,3,2003226,2029668,23371,23671,0,0,0,0,876066.8847216638,886770.0363244491,1279.2056655373553,1294.6237742588398,0.0,0.0
1762359968.0038264,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359968.0038264,3,1,2017282,2015520,23536,23506,1,0,0,0,879560.3297429446,883006.0283630234,1284.676607341753,1289.152832454442,0.0,0.0
1762359968.0038264,3,2,2029668,2003226,23671,23371,1,0,0,0,886770.0363244491,876066.8847216638,1294.6237742588398,1279.2056655373553,0.0,0.0
1762359968.0038264,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359968.0038264,1,1,20720,4000822,238,46659,0,0,0,0,4886.048389673008,1756590.1002221825,6.963016841960721,2564.379631224963,0.0,0.0
1762359968.0038264,1,2,2017294,2016330,23533,23518,0,0,0,0,879767.23081482,884279.2657284106,1284.676607341753,1291.1422658378594,0.0,0.0
1762359968.0038264,1,3,2015520,2017282,23506,23536,0,0,0,0,883006.0283630234,879560.3297429446,1289.152832454442,1284.676607341753,0.0,0.0
1762359971.015435,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359971.015435,2,1,22900,4451938,260,51933,0,0,0,0,3782.69606404635,1177496.9693186977,5.3127753708516146,1719.0148809311756,0.0,0.0
1762359971.015435,2,2,2239536,2239372,26125,26127,1,0,0,0,592921.6697131528,589925.2644039924,865.650336988135,861.3337069993181,0.0,0.0
1762359971.015435,2,3,2224750,2253152,25959,26281,0,0,0,0,588453.6256262666,593660.1454897012,859.3414162352487,866.6464823701697,0.0,0.0
1762359971.015435,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359971.015435,3,1,2239852,2238364,26135,26108,1,0,0,0,591232.207145222,591960.0573710286,862.9939493027092,863.9900946847439,0.0,0.0
1762359971.015435,3,2,2253152,2224750,26281,25959,1,0,0,0,593660.1454897012,588453.6256262666,866.6464823701697,859.3414162352487,0.0,0.0
1762359971.015435,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359971.015435,1,1,21948,4444670,252,51842,0,0,0,0,3262.0440777028916,1179032.3614008739,4.648678449495163,1721.007171695245,0.0,0.0
1762359971.015435,1,2,2239372,2239536,26127,26125,0,0,0,0,589925.2644039924,592921.6697131528,861.3337069993181,865.650336988135,0.0,0.0
1762359971.015435,1,3,2238364,2239852,26108,26135,0,0,0,0,591960.0573710286,591232.207145222,863.9900946847439,862.9939493027092,0.0,0.0
1762359972.0199428,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359972.0199428,2,1,24238,4889198,275,57038,0,0,0,0,10655.96525215566,3482382.1869638143,14.932686732280914,5082.091051219604,0.0,0.0
1762359972.0199428,2,2,2459716,2458582,28696,28686,1,0,0,0,1753535.4478472595,1745810.2712444263,2559.4625059129485,2547.5163565271237,0.0,0.0
1762359972.0199428,2,3,2443122,2473640,28509,28855,0,0,0,0,1739136.3557875454,1755988.390521149,2538.556744487755,2562.449043259405,0.0,0.0
1762359972.0199428,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359972.0199428,3,1,2459036,2458276,28695,28676,1,0,0,0,1745603.204655072,1751401.0691569922,2548.5118689759424,2556.4759685664926,0.0,0.0
1762359972.0199428,3,2,2473640,2443122,28855,28509,1,0,0,0,1755988.390521149,1739136.3557875454,2562.449043259405,2538.556744487755,0.0,0.0
1762359972.0199428,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762359972.0199428,1,1,23090,4882272,265,56951,0,0,0,0,9095.001732407894,3485105.9090237827,12.941661834643458,5086.073101014879,0.0,0.0
1762359972.0199428,1,2,2458582,2459716,28686,28696,0,0,0,0,1745810.2712444263,1753535.4478472595,2547.5163565271237,2559.4625059129485,0.0,0.0
1762359972.0199428,1,3,2458276,2459036,28676,28695,0,0,0,0,1751401.0691569922,1745603.204655072,2556.4759685664926,2548.5118689759424,0.0,0.0
1762359973.0258193,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
