ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762799464.4950502,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799464.4950502,2,1,10,273,984,25178,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799464.4950502,2,2,145,136,13316,12524,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799464.4950502,2,3,129,149,11896,13734,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799464.4950502,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799464.4950502,1,1,8,278,788,25660,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799464.4950502,1,2,136,145,12524,13316,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799464.4950502,1,3,141,136,13020,12524,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799464.4950502,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799464.4950502,3,1,136,141,12524,13020,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799464.4950502,3,2,145,129,13366,11896,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799465.4950395,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799465.4950395,2,1,10,273,984,25178,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799465.4950395,2,2,145,136,13316,12524,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799465.4950395,2,3,129,149,11896,13734,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799465.4950395,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799465.4950395,1,1,8,278,788,25660,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799465.4950395,1,2,136,145,12524,13316,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799465.4950395,1,3,141,136,13020,12524,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799465.4950395,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799465.4950395,3,1,136,141,12524,13020,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
