ts,dpid,port_no,rx_bytes,tx_bytes,rx_packets,tx_packets,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate,tx_rate,drop_rate,err_rate
1762484191.6284308,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484191.6284308,1,1,1034,19288,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484191.6284308,1,2,8962,10502,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484191.6284308,1,3,10050,8922,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484191.6284308,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484191.6284308,3,1,8922,10050,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484191.6284308,3,2,10134,8792,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484191.6284308,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484191.6284308,2,1,984,19150,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484191.6284308,2,2,10502,8962,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484191.6284308,2,3,8792,10134,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484192.6295185,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484192.6295185,1,1,1034,19288,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484192.6295185,1,2,8962,10502,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484192.6295185,1,3,10050,8922,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484192.6295185,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484192.6295185,3,1,8922,10050,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484192.6295185,3,2,10134,8792,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484192.6295185,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484192.6295185,2,1,984,19150,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484192.6295185,2,2,10502,8962,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484192.6295185,2,3,8792,10134,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484193.6294475,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484193.6294475,1,1,4416,325052,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484193.6294475,1,2,163020,167586,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484193.6294475,1,3,166256,163286,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484193.6294475,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484193.6294475,3,1,163286,167104,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484193.6294475,3,2,169960,161674,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484193.6294475,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484193.6294475,2,1,5312,323206,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484193.6294475,2,2,167586,163020,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484193.6294475,2,3,161674,169960,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484194.629513,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484194.629513,1,1,4416,325052,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484194.629513,1,2,163020,167586,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484194.629513,1,3,166256,163286,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484194.629513,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484194.629513,3,1,163286,167104,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484194.629513,3,2,169960,161674,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484194.629513,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484194.629513,2,1,5312,323206,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484194.629513,2,2,167586,163020,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484194.629513,2,3,161674,169960,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484195.6294734,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484195.6294734,3,1,373464,377200,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484195.6294734,3,2,381314,368998,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484195.6294734,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484195.6294734,1,1,6160,743658,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484195.6294734,1,2,373120,379058,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484195.6294734,1,3,377200,373464,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484195.6294734,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484195.6294734,2,1,8776,740588,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484195.6294734,2,2,379058,373120,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484195.6294734,2,3,368998,381314,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484196.6294942,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484196.6294942,3,1,373464,377200,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484196.6294942,3,2,381314,368998,0,0,1,0,0,0,0.0,0.0,0.0,0.0
1762484196.6294942,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484196.6294942,1,1,6160,743658,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484196.6294942,1,2,373120,379058,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484196.6294942,1,3,377200,373464,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1762484196.6294942,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
