ts,dpid,port,rx_packets,tx_packets,rx_bytes,tx_bytes,rx_dropped,tx_dropped,rx_errors,tx_errors,rx_rate_bps,tx_rate_bps,rx_rate_mbps,tx_rate_mbps,loss_pct,err_pct
1762799522.618711,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799522.618711,2,1,485,148864,42906,12763600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799522.618711,2,2,74917,74612,6422996,6396588,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799522.618711,2,3,74352,75164,6373620,6444774,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799522.618711,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799522.618711,1,1,429,148876,37498,12765876,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799522.618711,1,2,74612,74917,6396588,6422996,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799522.618711,1,3,74859,74662,6418550,6400246,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799522.618711,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799522.618711,3,1,74662,74859,6400246,6418550,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799522.618711,3,2,75164,74352,6444774,6373620,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799523.619793,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799523.619793,2,1,485,148864,42906,12763600,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799523.619793,2,2,74917,74612,6422996,6396588,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799523.619793,2,3,74352,75164,6373620,6444774,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799523.619793,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799523.619793,1,1,429,148876,37498,12765876,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799523.619793,1,2,74612,74917,6396588,6422996,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799523.619793,1,3,74859,74662,6418550,6400246,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799523.619793,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799523.619793,3,1,74662,74859,6400246,6418550,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799523.619793,3,2,75164,74352,6444774,6373620,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799524.6197727,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799524.6197727,2,2,77496,77193,6643938,6617714,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799524.6197727,2,3,76928,77745,6594376,6665988,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799524.6197727,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799524.6197727,1,2,77193,77496,6617714,6643938,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799524.6197727,1,3,77439,77237,6639654,6620888,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799524.6197727,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799524.6197727,3,1,77237,77439,6620888,6639654,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799524.6197727,3,2,77745,76928,6665988,6594376,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799525.6198199,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799525.6198199,2,2,77496,77193,6643938,6617714,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799525.6198199,2,3,76928,77745,6594376,6665988,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799525.6198199,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799525.6198199,1,2,77193,77496,6617714,6643938,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799525.6198199,1,3,77439,77237,6639654,6620888,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799525.6198199,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799525.6198199,3,1,77237,77439,6620888,6639654,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799525.6198199,3,2,77745,76928,6665988,6594376,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799526.6197805,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799526.6197805,2,2,80120,79809,6868762,6841902,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799526.6197805,2,3,79546,80373,6818700,6891092,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799526.6197805,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799526.6197805,1,2,79809,80120,6841902,6868762,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799526.6197805,1,3,80065,79860,6864746,6845606,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799526.6197805,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799526.6197805,3,1,79860,80065,6845606,6864746,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799526.6197805,3,2,80373,79546,6891092,6818700,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799527.6197898,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799527.6197898,2,2,80120,79809,6868762,6841902,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799527.6197898,2,3,79546,80373,6818700,6891092,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799527.6197898,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799527.6197898,1,2,79809,80120,6841902,6868762,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799527.6197898,1,3,80065,79860,6864746,6845606,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799527.6197898,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799527.6197898,3,1,79860,80065,6845606,6864746,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799527.6197898,3,2,80373,79546,6891092,6818700,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799528.6197875,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799528.6197875,2,2,82724,82397,7091930,7063616,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799528.6197875,2,3,82138,82974,7040752,7113942,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799528.6197875,1,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799528.6197875,1,2,82397,82724,7063616,7091930,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799528.6197875,1,3,82660,82444,7087040,7067054,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799528.6197875,3,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799528.6197875,3,1,82444,82660,7067054,7087040,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799528.6197875,3,2,82974,82138,7113942,7040752,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799529.619786,2,4294967294,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799529.619786,2,2,82724,82397,7091930,7063616,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
1762799529.619786,2,3,82138,82974,7040752,7113942,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
